O*NET-SOC Code,Tool Name
11-1021.00,Sage 50 Accounting
11-1021.00,Sage ACT!
11-1021.00,Sage MAS 500
11-1021.00,Salesforce software
11-1021.00,Salesforce.com Salesforce CRM
11-1021.00,SAP
11-1021.00,SAP Business Objects
11-1021.00,SAP Crystal Reports
11-1021.00,SAS
11-1021.00,Savant MobileRanger
11-1021.00,SeaMonkey
11-1021.00,Shell script
11-1021.00,Siemens NX for Manufacturing
11-1021.00,Software on Sailboats Desktop Sales Manager
11-1021.00,Splunk Enterprise
11-1021.00,StataCorp Stata
11-1021.00,Structured query language SQL
11-1021.00,Sugar CRM
11-1021.00,Supervisory control and data acquisition SCADA software
11-1021.00,Symantec
11-1021.00,Tableau
11-1021.00,Tax software
11-1021.00,Teradata Database
11-1021.00,The MathWorks MATLAB
11-1021.00,Vanguard Software Vanguard Sales Manager
11-1021.00,Veritas NetBackup
11-1021.00,vtiger CRM
11-1021.00,Yardi
11-1021.00,YouTube
11-1031.00,Computer laser printers
11-1031.00,Laptop computers
11-1031.00,Tablet computers
11-1031.00,Wireless desktop printers
11-1031.00,Adobe Systems Adobe Acrobat
11-1031.00,Adobe Systems Adobe FrameMaker
11-1031.00,Antenna House
11-1031.00,Apple iWork Keynote
11-1031.00,Apple Numbers for Mac
11-1031.00,Apple Pages for Mac
11-1031.00,Cisco AnyConnect
11-1031.00,Cisco Systems WebEx
11-1031.00,Citrix GoToMeeting
11-1031.00,Corel WordPerfect Office Suite
11-1031.00,GoodReader
11-1031.00,iAnnotate
11-1031.00,IBM Domino
11-1031.00,Legislative Automative Workflow System LAWS
11-1031.00,Mapping software
11-1031.00,Meeting scheduling software
11-1031.00,Microsoft Access
11-1031.00,Microsoft Excel
11-1031.00,Microsoft Exchange Server
11-1031.00,Microsoft Office
11-1031.00,Microsoft Outlook
11-1031.00,Microsoft SharePoint
11-1031.00,Microsoft SQL Server
11-1031.00,Microsoft Visual Basic
11-1031.00,Microsoft Word
11-1031.00,Penultimate
11-1031.00,PTC Arbortext Editor
11-1031.00,Rocket/Folio NXT
11-1031.00,Structured query language SQL
11-1031.00,Web browser software
11-1031.00,Windows Media Player
11-1031.00,XMetaL Author
11-2011.00,Desktop computers
11-2011.00,Notebook computers
11-2011.00,Personal computers
11-2011.00,Personal digital assistants PDA
11-2011.00,Scanners
11-2011.00,Tablet computers
11-2011.00,Actuate BIRT
11-2011.00,Adobe Systems Adobe Acrobat
11-2011.00,Adobe Systems Adobe AfterEffects
11-2011.00,Adobe Systems Adobe Creative Suite
11-2011.00,Adobe Systems Adobe Dreamweaver
11-2011.00,Adobe Systems Adobe Flash Player
11-2011.00,Adobe Systems Adobe Illustrator
11-2011.00,Adobe Systems Adobe InDesign
11-2011.00,Adobe Systems Adobe PageMaker
11-2011.00,Adobe Systems Adobe Photoshop
11-2011.00,Adobe Systems Adobe Premiere Pro
11-2011.00,AdRelevance
11-2011.00,Apple Final Cut Pro
11-2011.00,Apple iMovie
11-2011.00,Avid Media Composer
11-2011.00,Brainworks
11-2011.00,Business analysis software
11-2011.00,Constant Contact
11-2011.00,Customer relationship management CRM software
11-2011.00,Data visualization software
11-2011.00,Data warehousing software
11-2011.00,Database software
11-2011.00,Experience in Software Webplanner
11-2011.00,Facebook
11-2011.00,Google AdWords
11-2011.00,Google Analytics
11-2011.00,Google DoubleClick
11-2011.00,IBM Lotus Notes
11-2011.00,JavaScript
11-2011.00,LinkedIn
11-2011.00,MarketSharp
11-2011.00,Microsoft Access
11-2011.00,Microsoft Dynamics Marketing
11-2011.00,Microsoft Excel
11-2011.00,Microsoft Office
11-2011.00,Microsoft Outlook
11-2011.00,Microsoft PowerPoint
11-2011.00,Microsoft Publisher
11-2011.00,Microsoft Windows
11-2011.00,Microsoft Word
11-2011.00,PaloAlto Advertising Plan Pro
11-2011.00,Quark
11-2011.00,Relex Weibull
11-2011.00,Salesforce software
11-2011.00,Structure query language SQL
11-2011.00,Tableau
11-2011.00,Web browser software
11-2011.00,Webtrends software
11-2011.00,YouTube
11-2011.01,Computer data input scanners
11-2011.01,Desktop computers
11-2011.01,Handheld computers
11-2011.01,Laptop computers
11-2011.01,Laser facsimile machines
11-2011.01,Multi-line telephone systems
11-2011.01,Personal computers
11-2011.01,Photocopying equipment
11-2011.01,Adobe Systems Adobe Acrobat
11-2011.01,Adobe Systems Adobe Creative Suite
11-2011.01,Adobe Systems Adobe Dreamweaver
11-2011.01,Adobe Systems Adobe Experience Manager (AEM)
11-2011.01,Adobe Systems Adobe Illustrator
11-2011.01,Adobe Systems Adobe InDesign
11-2011.01,Adobe Systems Adobe Photoshop
11-2011.01,Adobe Systems Adobe Reader
11-2011.01,Computer aided software engineering CASE tools
11-2011.01,Customer relationship management CRM software
11-2011.01,Drupal
11-2011.01,Email software
11-2011.01,Extensible markup language XML
11-2011.01,Facebook
11-2011.01,Google AdWords
11-2011.01,Google Analytics
11-2011.01,Hootsuite
11-2011.01,HubSpot software
11-2011.01,Hypertext markup language HTML
11-2011.01,Inventory tracking software
11-2011.01,JavaScript
11-2011.01,LinkedIn
11-2011.01,MailChimp
11-2011.01,Marketo Marketing Automation
11-2011.01,Microsoft Access
11-2011.01,Microsoft Excel
11-2011.01,Microsoft Office
